name,current_price,market_cap,total_volume,price_change_percentage_24h,price_volatility,volume_to_market_cap_ratio
Bitcoin,81515,1.6323E+12,45900544278,-0.19435,0.19435,0.028120146
Ethereum,2350.8,2.8368E+11,21475346745,-1.0139,1.0139,0.075702807
Tether,0.99985,1.89546E+11,82212646759,-0.00345,0.00345,0.433734726
XRP,1.43,88182958288,2829360308,0.90825,0.90825,0.032085114
BNB,650.85,87701903874,1927710327,2.96552,2.96552,0.021980256
USDC,0.999782,78161122240,17153657221,-0.00125,0.00125,0.219465339
Solana,89.3,51471416866,4990220103,3.0855,3.0855,0.096951287
TRON,0.346479,32853401016,553954714,0.62806,0.62806,0.016861412
Figure Heloc,1.021,17803459827,31425727,-1.00291,1.00291,0.001765147
Dogecoin,0.113034,17414758766,2495409491,-0.36821,0.36821,0.143292797
WhiteBIT Coin,59.61,12720812101,57249464,-1.17328,1.17328,0.004500457
USDS,0.999875,11450705101,49986969,0.01091,0.01091,0.004365405
Hyperliquid,43.3,10310271341,412682358,-2.09355,2.09355,0.040026333
Cardano,0.266595,9855060302,634990525,3.00852,3.00852,0.064432942
LEO Token,10.34,9522568863,464555,0.15211,0.15211,4.88E-05
Bitcoin Cash,465.67,9328032341,396728067,2.28,2.28,0.042530735
Zcash,559.23,9300643084,1658344727,24.98016,24.98016,0.178304308
Monero,411.81,7575946527,238616095,0.57693,0.57693,0.031496539
Chainlink,10.02,7284575830,574335732,3.01955,3.01955,0.078842714
Toncoin,2.38,6363051347,1407993556,24.81741,24.81741,0.221276472
Canton,0.148438,5715448366,7336706,0.75285,0.75285,0.001283662
Stellar,0.16165,5405687084,128187849,1.32583,1.32583,0.023713516
MemeCore,3.58,4641362270,14412123,6.62805,6.62805,0.003105149
USD1,0.999303,4538887013,1209724641,-0.03231,0.03231,0.266524511
Dai,0.999533,4405737331,27811593,-0.02088,0.02088,0.006312585
Litecoin,56.96,4393210198,448885688,1.44722,1.44722,0.102177148
Avalanche,9.61,4150845355,332354152,2.09066,2.09066,0.080069028
Sui,0.993389,3977149251,588783775,3.29865,3.29865,0.148041659
Hedera,0.091679,3975973170,78232945,1.23721,1.23721,0.019676427
Ethena USDe,0.999428,3905206596,105772219,0.0168,0.0168,0.027084923
Shiba Inu,6.40E-06,3770776012,155912440,1.63177,1.63177,0.041347574
Rain,0.00731807,3500972916,15907979,-1.39009,1.39009,0.004543874
PayPal USD,0.999886,3435250102,86259795,-0.01283,0.01283,0.025110194
Cronos,0.070836,3086815122,12193351,1.71575,1.71575,0.00395014
Bittensor,313.32,3001801990,526623209,9.38287,9.38287,0.175435692
Tether Gold,4680.58,2772774545,284834432,2.93497,2.93497,0.102725421
Global Dollar,0.999927,2551564162,35887316,0.00284,0.00284,0.01406483
BlackRock USD Institutional Digital Liquidity Fund,1,2381485620,0,0,0,0
PAX Gold,4681.09,2242973572,242454869,2.96789,2.96789,0.108095286
Polkadot,1.31,2201696765,185877079,2.76599,2.76599,0.084424468
Mantle,0.665915,2199273294,46631600,3.23067,3.23067,0.021203186
Uniswap,3.47,2195192607,232568784,2.88873,2.88873,0.105944591
World Liberty Financial,0.067536,2145735550,70460249,2.91518,2.91518,0.032837341
NEAR Protocol,1.51,1951551437,398524757,16.71326,16.71326,0.2042092
Pi Network,0.181601,1895890346,27373499,0.14269,0.14269,0.014438335
Sky,0.079719,1847754020,14149166,-0.83698,0.83698,0.007657494
OKB,87.36,1834569042,24957294,1.58181,1.58181,0.0136039
Falcon USD,0.998472,1786101553,1935826,-0.01505,0.01505,0.001083828
HTX DAO,1.96E-06,1771417842,31180794,0.72046,0.72046,0.017602168
